Strategie,Netzwerkeffekte,Standardabweichung,Cluster-Effekt,Kategorie,Summe Cluster-Effekte,Anzahl Cluster,Iteration
Eigenes Forum,9303.702222222222,94.0198602148234,2.0,Einzelmaßnahme,,,3
"Sichtbarkeit & Nutzergewinnung, Community & Nutzerbindung",9271.306133333332,286.29854559726857,,Kombination,49.676,2.0,3
"Sichtbarkeit & Nutzergewinnung, Monetarisierung",9234.747244444445,177.8611559720213,,Kombination,57.376000000000005,2.0,3
"Monetarisierung, Community & Nutzerbindung",9218.78,255.1269843518025,,Kombination,56.10000000000001,2.0,3
"Monetarisierung, Community & Nutzerbindung, Nachhaltigkeit & Lokalität",9211.904444444444,313.9648367489813,,Kombination,89.10000000000001,3.0,3
"Community & Nutzerbindung, Nachhaltigkeit & Lokalität",9208.906666666666,371.1300776607094,,Kombination,57.2,2.0,3
"Sichtbarkeit & Nutzergewinnung, Community & Nutzerbindung, Nachhaltigkeit & Lokalität",9093.246133333332,375.6214203305131,,Kombination,82.676,3.0,3
Alle Cluster,9067.18502222222,102.57297859103684,,Kombination,114.576,4.0,3
"Sichtbarkeit & Nutzergewinnung, Monetarisierung, Nachhaltigkeit & Lokalität",9054.562800000002,158.35877255284726,,Kombination,90.376,3.0,3
"Monetarisierung, Nachhaltigkeit & Lokalität",9052.404444444444,295.5417213700463,,Kombination,64.9,2.0,3
"Sichtbarkeit & Nutzergewinnung, Monetarisierung, Community & Nutzerbindung",9029.475022222225,34.158989435568444,,Kombination,81.57600000000001,3.0,3
"Sichtbarkeit & Nutzergewinnung, Community & Nutzerbindung",9402.168355555556,471.8143781113428,,Kombination,49.676,2.0,4
"Monetarisierung, Community & Nutzerbindung",9390.592222222222,242.8765802792605,,Kombination,56.10000000000001,2.0,4
"Sichtbarkeit & Nutzergewinnung, Monetarisierung, Community & Nutzerbindung",9369.061688888887,71.62131156555455,,Kombination,81.57600000000001,3.0,4
Alle Cluster,9305.417244444445,405.8981852951863,,Kombination,114.576,4.0,4
Freemium Modell,9298.681111111113,102.39295192396744,25.0,Einzelmaßnahme,,,4
Treuepunkte,9297.181111111113,102.39295192396744,20.0,Einzelmaßnahme,,,4
Personalisierte Empfehlungen,9296.431111111113,102.39295192396744,17.5,Einzelmaßnahme,,,4
Affiliate-Marketing,9295.98111111111,102.39295192396544,16.0,Einzelmaßnahme,,,4
Regionale Kooperationen,9294.181111111113,102.39295192396744,10.0,Einzelmaßnahme,,,4
Nachhaltige Werte,9294.181111111113,102.39295192396744,10.0,Einzelmaßnahme,,,4
SEM,9292.729111111112,102.39295192396568,5.16,Einzelmaßnahme,,,4
Nachhaltige Produktfilter,9292.681111111113,102.39295192396744,5.0,Einzelmaßnahme,,,4
CO2-Transparenz,9292.681111111113,102.39295192396744,5.0,Einzelmaßnahme,,,4
Reduzierte Gebühren,9292.381111111112,102.39295192396568,4.0,Einzelmaßnahme,,,4
Social-Media-Marketing,9291.78111111111,102.39295192396744,2.0,Einzelmaßnahme,,,4
Eigenes Forum,9291.78111111111,102.39295192396744,2.0,Einzelmaßnahme,,,4
"Sichtbarkeit & Nutzergewinnung, Nachhaltigkeit & Lokalität",9258.756133333334,391.8283632323392,,Kombination,58.476,2.0,4
Nachhaltigkeit & Lokalität,9222.37111111111,158.9385866488244,33.0,Cluster,,,4
Monetarisierung,9222.04111111111,158.93858664882524,31.9,Cluster,,,4
Sichtbarkeit & Nutzergewinnung,9220.11391111111,158.93858664882427,25.476000000000003,Cluster,,,4
Community & Nutzerbindung,9219.731111111112,158.93858664882524,24.200000000000003,Cluster,,,4
"Sichtbarkeit & Nutzergewinnung, Monetarisierung",9210.287244444442,359.90488703935995,,Kombination,57.376000000000005,2.0,4
"Monetarisierung, Community & Nutzerbindung, Nachhaltigkeit & Lokalität",9197.923333333332,369.2235991163686,,Kombination,89.10000000000001,3.0,4
"Sichtbarkeit & Nutzergewinnung, Community & Nutzerbindung, Nachhaltigkeit & Lokalität",9172.919466666666,222.66178031065695,,Kombination,82.676,3.0,4
"Community & Nutzerbindung, Nachhaltigkeit & Lokalität",9132.706666666663,62.68758152758511,,Kombination,57.2,2.0,4
"Sichtbarkeit & Nutzergewinnung, Monetarisierung, Nachhaltigkeit & Lokalität",9069.388355555557,224.3809630549832,,Kombination,90.376,3.0,4
"Monetarisierung, Nachhaltigkeit & Lokalität",8999.133333333331,506.8691515020848,,Kombination,64.9,2.0,4
